,from_node,to_node,edge_tt,edge_var,distance
,135732.0,135733.0,28.15,0.0,360.99
,135734.0,135735.0,14.53,0.0,172.17
,135738.0,135739.0,,0.0,3.61
,135740.0,135741.0,6.69,0.0,90.4
,135742.0,135743.0,9.68,0.0,130.86
,135744.0,135745.0,10.23,0.0,138.44
,135746.0,135747.0,19.99,0.0,265.47
,135762.0,135763.0,1.37,0.0,10.99
,135764.0,135765.0,23.04,0.0,204.23
,135766.0,135767.0,21.83,0.0,193.79
,135768.0,135769.0,9.33,0.0,84.73
,135772.0,135773.0,,0.0,0.13
,135774.0,135775.0,12.18,0.0,79.6
,135794.0,135795.0,10.29,0.0,135.05
,135796.0,135797.0,13.39,0.0,64.1
,135798.0,135799.0,4.19,0.0,59.81
,135806.0,135807.0,7.11,0.0,85.81
,135818.0,135819.0,15.06,0.0,179.57
,135820.0,135821.0,4.18,0.0,54.84
,135822.0,135823.0,50.45,0.0,314.27
,135850.0,135851.0,11.36,0.0,91.88
,135864.0,135865.0,6.01,0.0,83.64
,135866.0,135867.0,3.03,0.0,38.9
,135892.0,135893.0,13.59,0.0,100.19
,135894.0,135895.0,6.41,0.0,74.57
,135898.0,135899.0,34.86,0.0,227.71
,135904.0,135905.0,13.7,0.0,165.97
,135914.0,135915.0,7.48,0.0,99.63
,135960.0,135961.0,43.79,0.0,516.02
,135964.0,135965.0,10.16,0.0,147.93
,135966.0,135967.0,13.04,0.0,164.04
,135986.0,135987.0,11.15,0.0,90.21
,135994.0,135995.0,21.84,0.0,162.72
,136006.0,136007.0,21.22,0.0,167.09
,136048.0,136049.0,33.39,0.0,276.29
,136050.0,136051.0,50.24,0.0,437.68
,136064.0,136065.0,18.09,0.0,255.71
,136066.0,136067.0,2.06,0.0,25.14
,136068.0,136069.0,10.25,0.0,119.66
,136070.0,136071.0,12.7,0.0,90.19
,136072.0,136073.0,11.67,0.0,63.5
,136074.0,136075.0,7.5,0.0,97.83
,136076.0,136077.0,1.78,0.0,23.84
,136078.0,136079.0,3.79,0.0,51.83
,136080.0,136081.0,3.98,0.0,53.39
,136110.0,136111.0,8.26,0.0,64.71
,136112.0,136113.0,5.45,0.0,42.87
,136124.0,136125.0,6.52,0.0,70.42
,136130.0,136131.0,2.51,0.0,31.46
,136132.0,136133.0,5.69,0.0,68.23
,136148.0,136149.0,13.59,0.0,165.14
,136150.0,136151.0,9.29,0.0,112.7
,136152.0,136153.0,6.36,0.0,77.36
,136154.0,136155.0,1.92,0.0,23.31
,136156.0,136157.0,5.18,0.0,61.78
,136160.0,136161.0,8.03,0.0,92.37
,136164.0,136165.0,19.59,0.0,236.69
,136166.0,136167.0,2.44,0.0,29.35
,136174.0,136175.0,2.61,0.0,35.87
,136180.0,136181.0,20.53,0.0,142.73
,136184.0,136185.0,18.32,0.0,208.58
,136188.0,136189.0,2.45,0.0,29.81
,136190.0,136191.0,27.04,0.0,369.79
,136218.0,136219.0,18.95,0.0,135.85
,136220.0,136221.0,13.56,0.0,168.75
,136222.0,136223.0,1.83,0.0,23.1
,136244.0,136245.0,4.31,0.0,34.41
,136254.0,136255.0,0.74,0.0,7.36
,136256.0,136257.0,9.49,0.0,127.37
,136260.0,136261.0,21.94,0.0,162.1
,136262.0,136263.0,12.81,0.0,162.33
,136264.0,136265.0,13.92,0.0,173.58
,136266.0,136267.0,20.98,0.0,271.64
,136268.0,136269.0,3.31,0.0,45.65
,136270.0,136271.0,10.51,0.0,144.37
,136272.0,136273.0,28.44,0.0,242.68
,136274.0,136275.0,7.04,0.0,85.82
