from_node,to_node,edge_tt,distance,edge_var
6320.0,6321.0,6.84,100.01,0.0
6322.0,6323.0,9.16,125.78,0.0
6324.0,6325.0,16.65,144.06,0.0
6326.0,6327.0,1.56,4.44,0.0
6328.0,6329.0,14.37,132.07,0.0
6330.0,6331.0,9.14,119.85,0.0
6396.0,6397.0,24.13,148.48,0.0
6398.0,6399.0,19.02,108.76,0.0
6420.0,6421.0,25.9,214.52,0.0
6422.0,6423.0,18.78,155.78,0.0
6430.0,6431.0,15.05,125.07,0.0
6432.0,6433.0,22.89,189.75,0.0
6434.0,6435.0,25.64,211.24,0.0
6440.0,6441.0,23.5,229.19,0.0
6448.0,6449.0,6.28,83.05,0.0
6450.0,6451.0,6.16,82.05,0.0
6452.0,6453.0,21.64,152.05,0.0
6454.0,6455.0,15.76,119.96,0.0
6494.0,6495.0,20.76,174.46,0.0
6506.0,6507.0,26.21,228.25,0.0
6546.0,6547.0,58.36,405.83,0.0
6548.0,6549.0,66.17,507.08,0.0
6558.0,6559.0,40.14,338.14,0.0
6560.0,6561.0,13.08,152.32,0.0
6566.0,6567.0,3.95,29.7,0.0
6590.0,6591.0,7.08,5.73,0.0
6622.0,6623.0,12.32,101.13,0.0
6630.0,6631.0,22.27,165.7,0.0
6632.0,6633.0,20.48,148.1,0.0
6644.0,6645.0,4.12,32.52,0.0
6646.0,6647.0,27.55,223.15,0.0
6672.0,6673.0,12.46,102.42,0.0
6674.0,6675.0,13.8,114.59,0.0
6704.0,6705.0,24.84,199.96,0.0
6706.0,6707.0,18.99,148.06,0.0
6708.0,6709.0,3.83,28.31,0.0
6710.0,6711.0,26.38,212.58,0.0
6712.0,6713.0,10.64,84.74,0.0
6752.0,6753.0,39.95,334.63,0.0
6762.0,6763.0,12.41,93.9,0.0
6764.0,6765.0,6.06,46.55,0.0
6782.0,6783.0,7.49,99.76,0.0
6786.0,6787.0,8.38,69.0,0.0
6788.0,6789.0,6.78,58.44,0.0
6792.0,6793.0,37.17,302.92,0.0
6794.0,6795.0,12.74,75.69,0.0
6796.0,6797.0,15.01,117.53,0.0
6798.0,6799.0,13.12,99.96,0.0
6912.0,6913.0,9.88,58.62,0.0
6914.0,6915.0,8.99,69.65,0.0
6916.0,6917.0,8.01,95.42,0.0
6918.0,6919.0,8.21,107.03,0.0
6920.0,6921.0,17.59,229.97,0.0
6922.0,6923.0,4.92,64.58,0.0
6924.0,6925.0,4.77,62.03,0.0
6926.0,6927.0,3.83,49.8,0.0
6928.0,6929.0,13.31,174.47,0.0
6930.0,6931.0,9.93,123.52,0.0
6932.0,6933.0,14.87,122.57,0.0
6966.0,6967.0,12.91,100.89,0.0
6968.0,6969.0,14.66,115.49,0.0
6970.0,6971.0,16.44,110.85,0.0
6972.0,6973.0,35.13,279.22,0.0
6974.0,6975.0,16.2,102.06,0.0
6980.0,6981.0,77.79,655.49,0.0
