"simulation_index","MOD_demand_subset","fleet_size","network_name","rq_file","demand_name","vehtype","objective_function","evaluation_int_start","evaluation_int_end","random_seed","start_time","end_time","op_module","op_init_veh_distribution","network_type","sim_env","sumo_t_update","sumo_fcd_vehicles","rerouting_sc","hybrid_router","p_ref","reliable_tt_det","f_det","reliable_tt_prob","k_quantile","sim_declined_rq","rtt_corr_add","op_max_wait_time","routing_behavior_scenario","op_const_boarding_time","routing_behavior_scenario2","Simulated?"
"58","0.05","100","sumo_example_cf_1.2_s_0-4","sumo_example_s_00_0.05.csv","sumo_example_s_00_0.05","FP_pooling_vehtype","total_system_time","1800","5400","0","0","7200","PoolingIRSOnly","","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","86400",,,"0","","0","","0","","ignore","0","300","","30","","1"
"59","0.05","100","sumo_example_cf_1.3_s_0-4","sumo_example_s_00_0.05.csv","sumo_example_s_00_0.05","FP_pooling_vehtype","total_system_time","1800","5400","0","0","7200","PoolingIRSOnly","","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","86400",,,"0","","0","","0","","ignore","0","300","","30","","1"
"60","0.05","100","sumo_example_cf_1.4_s_0-4","sumo_example_s_00_0.05.csv","sumo_example_s_00_0.05","FP_pooling_vehtype","total_system_time","1800","5400","0","0","7200","PoolingIRSOnly","","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","86400",,,"0","","0","","0","","ignore","0","300","","30","","1"
"61","0.05","100","sumo_example_cf_1.8_s_0-4","sumo_example_s_00_0.05.csv","sumo_example_s_00_0.05","FP_pooling_vehtype","total_system_time","1800","5400","0","0","7200","PoolingIRSOnly","","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","86400",,,"0","","0","","0","","ignore","0","300","","30","","1"
"62","0.05","100","sumo_example_cf_2.0_s_0-4","sumo_example_s_00_0.05.csv","sumo_example_s_00_0.05","FP_pooling_vehtype","total_system_time","1800","5400","0","0","7200","PoolingIRSOnly","","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","86400",,,"0","","0","","0","","ignore","0","300","","30","","1"
"63","0.05","100","sumo_example_static_cf_1.1","sumo_example_s_00_0.05.csv","sumo_example_s_00_0.05","FP_pooling_vehtype","total_system_time","1800","5400","0","0","7200","PoolingIRSOnly","","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","86400",,,"0","","0","","0","","ignore","0","300","","30","","1"
"64","0.05","100","sumo_example_static_cf_1.2","sumo_example_s_00_0.05.csv","sumo_example_s_00_0.05","FP_pooling_vehtype","total_system_time","1800","5400","0","0","7200","PoolingIRSOnly","","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","86400",,,"0","","0","","0","","ignore","0","300","","30","","1"
"65","0.05","100","sumo_example_static_cf_1.3","sumo_example_s_00_0.05.csv","sumo_example_s_00_0.05","FP_pooling_vehtype","total_system_time","1800","5400","0","0","7200","PoolingIRSOnly","","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","86400",,,"0","","0","","0","","ignore","0","300","","30","","1"
"66","0.05","100","sumo_example_static_cf_1.4","sumo_example_s_00_0.05.csv","sumo_example_s_00_0.05","FP_pooling_vehtype","total_system_time","1800","5400","0","0","7200","PoolingIRSOnly","","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","86400",,,"0","","0","","0","","ignore","0","300","","30","","1"
"67","0.05","100","sumo_example_static_cf_1.5","sumo_example_s_00_0.05.csv","sumo_example_s_00_0.05","FP_pooling_vehtype","total_system_time","1800","5400","0","0","7200","PoolingIRSOnly","","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","86400",,,"0","","0","","0","","ignore","0","300","","30","","1"
