,from_node,to_node,edge_tt
20235,22532,22533,1.948
20236,22534,22535,19.98
20237,22536,22537,2.151
20238,22576,22577,5.136
20239,22578,22579,0.259
20240,22580,22581,11.361
20241,22584,22585,0.817
20242,22634,22635,0.476
20243,22636,22637,2.44
20244,22638,22639,5.313
20245,22710,22711,6.978
20246,22712,22713,15.646
20247,22750,22751,4.152
20248,22752,22753,12.755
20249,22754,22755,1.633
20250,22756,22757,1.471
20251,22762,22763,14.629
20252,22764,22765,8.755
20253,22766,22767,3.479
20254,22768,22769,1.866
20255,22770,22771,42.222
20256,22922,22923,15.872
20257,22924,22925,5.591
20258,22926,22927,2.02
20259,22928,22929,3.402
20260,22930,22931,12.803
20261,22932,22933,1.031
20262,22934,22935,11.211
20263,22936,22937,0.517
20264,22938,22939,1.442
20265,22940,22941,0.016
20266,22942,22943,5.781
20267,22950,22951,0.023
20268,22952,22953,13.432
20269,22954,22955,1.63
20270,22956,22957,0.449
20271,22958,22959,0.048
20272,22960,22961,0.324
20273,22962,22963,0.081
20274,22964,22965,1.085
20275,22966,22967,1.512
20276,22976,22977,18.048
20277,22978,22979,6.429
20278,22980,22981,8.967
20279,22982,22983,7.833
20280,22984,22985,1.78
20281,22986,22987,8.186
20282,23036,23037,15.563
20283,23038,23039,1.429
20284,23040,23041,3.513
20285,23042,23043,0.045
20286,23044,23045,2.932
20287,23046,23047,3.77
20288,23048,23049,1.75
20289,23050,23051,1.127
20290,23052,23053,8.12
20291,23054,23055,0.815
20292,23056,23057,1.505
20293,23058,23059,0.143
20294,23060,23061,1.81
20295,23062,23063,0.023
20296,23064,23065,1.139
20297,23098,23099,13.775
20298,23100,23101,1.661
20299,23102,23103,5.035
20300,23514,23515,2.541
20301,23526,23527,6.065
20302,23528,23529,18.511
20303,23530,23531,11.056
20304,23644,23645,5.465
20305,23646,23647,1.417
20306,23728,23729,12.784
20307,23734,23735,16.406
20308,23736,23737,1.434
20309,23738,23739,4.561
20310,23796,23797,12.737
20311,23798,23799,15.382
20312,23802,23803,4.217
20313,23838,23839,2.949
20314,23956,23957,11.53
20315,23958,23959,4.493
20316,23960,23961,15.782
20317,23962,23963,1.6
20318,23964,23965,3.47
20319,24130,24131,0.833
20320,24140,24141,29.816
20321,24158,24159,5.668
20322,24160,24161,0.019
20323,24162,24163,0.02
20324,24164,24165,4.037
20325,24336,24337,5.474
20326,24338,24339,1.307
20327,24340,24341,10.927
20328,24342,24343,0.59
20329,24344,24345,7.298
20330,24346,24347,18.939
20331,24348,24349,40.151
20332,24388,24389,5.327
20333,24406,24407,2.952
20334,24408,24409,0.319
20335,24410,24411,4.473
20336,24412,24413,0.094
20337,24414,24415,1.873
20338,24416,24417,5.005
20339,24418,24419,4.109
20340,24420,24421,22.312
20341,24422,24423,1.751
20342,24424,24425,0.296
20343,24426,24427,0.546
20344,24428,24429,4.137
20345,24430,24431,1.528
20346,24432,24433,15.617
20347,24434,24435,1.967
20348,24436,24437,4.251
20349,24438,24439,2.397
20350,24440,24441,1.234
20351,24442,24443,0.852
20352,24444,24445,2.183
20353,24446,24447,1.488
20354,24448,24449,1.648
20355,24450,24451,5.028
20356,24452,24453,6.628
20357,24454,24455,1.937
20358,24456,24457,2.17
20359,24458,24459,1.745
20360,24460,24461,3.499
20361,24462,24463,8.897
20362,24464,24465,12.055
20363,24466,24467,10.877
20364,24514,24515,1.074
20365,24516,24517,3.067
20366,24540,24541,2.463
20367,24542,24543,2.976
20368,24544,24545,0.803
20369,24548,24549,10.75
20370,24798,24799,3.317
20371,24800,24801,15.516
20372,24810,24811,12.108
20373,24812,24813,3.956
20374,24814,24815,6.498
20375,24816,24817,12.211
20376,24964,24965,3.197
20377,25212,25213,4.055
20378,25240,25241,0.245
20379,25258,25259,3.851
20380,25260,25261,3.12
20381,25308,25309,4.266
20382,25310,25311,6.725
20383,25312,25313,0.644
20384,25314,25315,4.056
20385,25316,25317,1.31
20386,25342,25343,1.199
20387,25344,25345,1.0
20388,25346,25347,0.622
20389,25348,25349,1.883
20390,25350,25351,5.64
20391,25352,25353,8.07
20392,25354,25355,0.768
20393,25356,25357,10.722
20394,25358,25359,4.306
20395,25360,25361,5.467
20396,25362,25363,5.973
20397,25364,25365,10.663
20398,25366,25367,6.045
20399,25368,25369,11.745
20400,25370,25371,1.809
20401,25372,25373,1.873
20402,25374,25375,5.067
20403,25376,25377,6.031
20404,25378,25379,2.823
20405,25380,25381,1.744
20406,25382,25383,6.045
20407,25398,25399,10.615
20408,25400,25401,2.88
20409,25402,25403,5.762
20410,25404,25405,0.309
20411,25406,25407,6.662
20412,25412,25413,2.009
20413,25416,25417,0.684
20414,25418,25419,5.674
20415,25420,25421,3.512
20416,25426,25427,2.309
20417,25428,25429,3.536
20418,25432,25433,5.346
